gridpoint,lon,lat
1,14.3491516,51.9331474
2,14.4284286,52.0697594
3,14.5083466,52.2062874
4,14.5889130,52.3427315
5,14.6701050,52.4790840
6,14.7519760,52.6153488
7,14.8344955,52.7515259
8,14.9176788,52.8876038
9,15.0015411,53.0235939
10,15.0860901,53.1594887
11,15.1713104,53.2952919
12,15.2572403,53.4310036
13,15.3438797,53.5666161
14,15.4312134,53.7021294
15,15.5192642,53.8375435
16,15.6080399,53.9728584
17,15.6975632,54.1080818
18,15.7878113,54.2431908
19,15.8788147,54.3782082
20,15.9705582,54.5130997
21,16.0630760,54.6479034
22,16.1563644,54.7825966
23,16.2504349,54.9171829
24,16.3452797,55.0516548
25,16.4409447,55.1860275
26,16.5373840,55.3202744
27,16.6346550,55.4544106
28,16.7327423,55.5884361
29,16.8316574,55.7223473
30,16.9314194,55.8561440
31,17.0320206,55.9898148
32,17.1334839,56.1233635
33,17.2358131,56.2567978
34,17.3390160,56.3901024
35,17.4431076,56.5232887
36,17.5480957,56.6563492
37,17.6539841,56.7892723
38,17.7607956,56.9220772
39,17.8685265,57.0547485
40,17.9771881,57.1872826
41,18.0867996,57.3196869
42,18.1973686,57.4519539
43,14.1197205,51.9832649
44,14.1984482,52.1201286
45,14.2778015,52.2569046
46,14.3577957,52.3935966
47,14.4384308,52.5302010
48,14.5197220,52.6667137
49,14.6016769,52.8031502
50,14.6842880,52.9394836
51,14.7675705,53.0757294
52,14.8515320,53.2118835
53,14.9361801,53.3479462
54,15.0215225,53.4839211
55,15.1075592,53.6197968
56,15.1943130,53.7555771
57,15.2817612,53.8912544
58,15.3699493,54.0268402
59,15.4588623,54.1623268
60,15.5485077,54.2977104
61,15.6389008,54.4329872
62,15.7300491,54.5681648
63,15.8219604,54.7032471
64,15.9146271,54.8382111
65,16.0080795,54.9730759
66,16.1023178,55.1078300
67,16.1973495,55.2424812
68,16.2931786,55.3770180
69,16.3898201,55.5114403
70,16.4872780,55.6457520
71,16.5855637,55.7799454
72,16.6846924,55.9140282
73,16.7846603,56.0479927
74,16.8854866,56.1818428
75,16.9871750,56.3155708
76,17.0897369,56.4491730
77,17.1931877,56.5826607
78,17.2975311,56.7160149
79,17.4027634,56.8492432
80,17.5089302,56.9823608
81,17.6160011,57.1153336
82,17.7240067,57.2481728
83,17.8329697,57.3808899
84,17.9428749,57.5134735
85,13.8897934,52.0329399
86,13.9679489,52.1700478
87,14.0467377,52.3070717
88,14.1261597,52.4440117
89,14.2062225,52.5808678
90,14.2869339,52.7176323
91,14.3683090,52.8543205
92,14.4503250,52.9909019
93,14.5330276,53.1274071
94,14.6164017,53.2638206
95,14.7004623,53.4001427
96,14.7852097,53.5363770
97,14.8706589,53.6725121
98,14.9567947,53.8085518
99,15.0436554,53.9444923
100,15.1312332,54.0803452
101,15.2195435,54.2160988
102,15.3085785,54.3517532
103,15.3983612,54.4873047
104,15.4888916,54.6227531
105,15.5801773,54.7581024
106,15.6722336,54.8933449
107,15.7650604,55.0284882
108,15.8586731,55.1635246
109,15.9530716,55.2984505
110,16.0482674,55.4332695
111,16.1442757,55.5679741
112,16.2411003,55.7025719
113,16.3387489,55.8370590
114,16.4372292,55.9714279
115,16.5365524,56.1056824
116,16.6367302,56.2398186
117,16.7377777,56.3738480
118,16.8396835,56.5077438
